NameOfPig;CageId;Time;Date;Answer
0;100;20:21:13;05-09-2019;WRONG
0;100;20:41:58;06-09-2019;RIGHT
0;100;20:00:36;07-09-2019;RIGHT
0;100;23:48:47;11-09-2019;RIGHT
0;100;12:08:11;13-11-2019;RIGHT
0;100;12:08:17;13-11-2019;RIGHT
0;100;12:08:24;13-11-2019;RIGHT
0;100;12:08:31;13-11-2019;RIGHT
0;100;10:32:32;18-11-2019;RIGHT
0;100;10:33:19;18-11-2019;RIGHT
0;100;23:26:59;26-11-2019;RIGHT
0;100;23:27:31;26-11-2019;WRONG
0;100;11:33:29;16-05-2020;WRONG
0;100;11:34:08;16-05-2020;RIGHT
0;100;09:21:14;17-05-2020;RIGHT
0;100;08:32:29;20-05-2020;WRONG
0;100;14:44:43;22-05-2020;RIGHT
0;100;14:54:55;22-05-2020;RIGHT
0;100;15:01:20;22-05-2020;RIGHT
0;100;11:59:30;23-05-2020;RIGHT
0;100;14:39:23;23-05-2020;WRONG
0;100;11:27:53;25-05-2020;RIGHT
0;100;14:34:09;25-05-2020;RIGHT
0;100;11:18:11;27-05-2020;RIGHT
0;100;11:19:48;27-05-2020;WRONG
0;100;11:19:59;27-05-2020;RIGHT
0;100;14:08:02;27-05-2020;RIGHT
0;100;14:06:08;28-05-2020;RIGHT
0;100;14:51:25;28-05-2020;WRONG
0;100;14:13:04;29-05-2020;WRONG
0;100;14:13:34;29-05-2020;WRONG
0;100;17:02:38;31-05-2020;RIGHT
0;100;17:02:52;31-05-2020;RIGHT
0;100;17:04:43;31-05-2020;RIGHT
0;100;17:06:50;31-05-2020;RIGHT
0;100;17:16:33;31-05-2020;WRONG
0;100;17:17:59;31-05-2020;WRONG
0;100;17:04:18;01-06-2020;RIGHT
0;100;11:10:29;02-06-2020;WRONG
0;100;14:50:48;02-06-2020;RIGHT
1;101;20:24:41;05-09-2019;RIGHT
1;101;20:05:55;08-09-2019;WRONG
1;101;20:23:59;10-09-2019;RIGHT
1;101;19:01:46;12-09-2019;WRONG
1;101;20:01:57;26-09-2019;RIGHT
1;101;23:28:03;26-09-2019;RIGHT
1;101;20:29:04;29-09-2019;WRONG
1;101;20:30:22;29-09-2019;RIGHT
1;101;23:04:36;30-09-2019;RIGHT
1;101;23:30:38;01-10-2019;RIGHT
1;101;23:28:42;02-10-2019;WRONG
1;101;23:28:57;02-10-2019;RIGHT
1;101;12:07:47;13-11-2019;RIGHT
1;101;12:07:54;13-11-2019;RIGHT
1;101;12:08:01;13-11-2019;RIGHT
1;101;12:08:24;16-11-2019;RIGHT
1;101;13:06:39;18-11-2019;RIGHT
1;101;08:05:05;16-05-2020;RIGHT
1;101;11:19:51;16-05-2020;WRONG
1;101;11:24:46;16-05-2020;WRONG
1;101;14:03:13;16-05-2020;RIGHT
1;101;14:41:25;16-05-2020;RIGHT
1;101;09:20:59;17-05-2020;RIGHT
1;101;14:47:24;22-05-2020;RIGHT
1;101;11:33:06;23-05-2020;RIGHT
1;101;11:40:07;23-05-2020;WRONG
1;101;11:47:13;23-05-2020;RIGHT
1;101;11:59:11;23-05-2020;RIGHT
1;101;14:02:20;23-05-2020;WRONG
1;101;14:33:01;23-05-2020;RIGHT
1;101;14:41:24;23-05-2020;RIGHT
1;101;14:56:20;23-05-2020;RIGHT
1;101;17:18:30;23-05-2020;WRONG
1;101;17:18:38;23-05-2020;RIGHT
1;101;17:22:45;23-05-2020;RIGHT
1;101;17:23:04;23-05-2020;RIGHT
1;101;17:32:58;23-05-2020;RIGHT
1;101;17:34:09;23-05-2020;RIGHT
1;101;17:39:36;23-05-2020;RIGHT
1;101;17:40:22;23-05-2020;WRONG
1;101;17:54:59;23-05-2020;RIGHT
1;101;11:19:03;24-05-2020;WRONG
1;101;11:21:12;24-05-2020;RIGHT
1;101;11:22:35;24-05-2020;RIGHT
1;101;11:24:13;24-05-2020;WRONG
1;101;11:28:00;24-05-2020;RIGHT
1;101;17:21:48;24-05-2020;RIGHT
1;101;17:53:28;24-05-2020;WRONG
1;101;11:34:23;25-05-2020;RIGHT
1;101;14:37:10;25-05-2020;RIGHT
1;101;14:38:45;25-05-2020;RIGHT
1;101;17:34:37;25-05-2020;RIGHT
1;101;11:26:21;28-05-2020;RIGHT
1;101;14:01:51;28-05-2020;RIGHT
1;101;14:03:21;28-05-2020;RIGHT
1;101;14:17:16;28-05-2020;WRONG
1;101;14:23:41;28-05-2020;WRONG
1;101;14:43:01;28-05-2020;RIGHT
1;101;14:48:43;28-05-2020;RIGHT
1;101;14:51:26;28-05-2020;RIGHT
1;101;08:22:49;29-05-2020;RIGHT
1;101;08:41:43;29-05-2020;RIGHT
1;101;14:41:50;29-05-2020;RIGHT
1;101;14:56:58;29-05-2020;RIGHT
1;101;11:10:59;30-05-2020;RIGHT
1;101;14:08:45;30-05-2020;RIGHT
1;101;14:11:43;30-05-2020;RIGHT
1;101;11:02:00;31-05-2020;RIGHT
1;101;17:07:16;31-05-2020;RIGHT
1;101;17:09:15;31-05-2020;RIGHT
1;101;17:43:39;31-05-2020;RIGHT
1;101;17:49:35;31-05-2020;RIGHT
1;101;11:07:23;01-06-2020;RIGHT
1;101;17:01:14;01-06-2020;RIGHT
1;101;17:33:26;01-06-2020;RIGHT
1;101;11:07:11;02-06-2020;RIGHT
1;101;14:00:49;02-06-2020;WRONG
1;101;14:25:20;02-06-2020;WRONG
1;101;14:47:01;02-06-2020;RIGHT
1;101;14:59:23;02-06-2020;WRONG
1;101;17:43:54;02-06-2020;WRONG
1;101;17:45:02;02-06-2020;RIGHT
1;101;17:55:58;02-06-2020;RIGHT
2;102;12:07:29;13-11-2019;RIGHT
2;102;12:05:21;16-11-2019;RIGHT
2;102;12:07:12;16-11-2019;RIGHT
2;102;23:05:54;26-11-2019;RIGHT
2;102;07:58:34;16-05-2020;RIGHT
2;102;08:00:30;16-05-2020;RIGHT
2;102;08:02:21;16-05-2020;RIGHT
2;102;08:04:57;16-05-2020;RIGHT
2;102;08:05:33;16-05-2020;RIGHT
2;102;08:08:15;16-05-2020;RIGHT
2;102;08:31:51;16-05-2020;RIGHT
2;102;08:35:12;16-05-2020;WRONG
2;102;08:37:45;16-05-2020;RIGHT
2;102;11:08:13;16-05-2020;RIGHT
2;102;11:22:35;16-05-2020;RIGHT
2;102;14:04:45;16-05-2020;RIGHT
2;102;14:42:58;16-05-2020;WRONG
2;102;09:20:36;17-05-2020;WRONG
2;102;14:14:26;22-05-2020;RIGHT
2;102;14:30:12;22-05-2020;RIGHT
2;102;14:31:39;22-05-2020;WRONG
2;102;14:48:00;22-05-2020;RIGHT
2;102;11:37:14;23-05-2020;RIGHT
2;102;14:30:01;23-05-2020;RIGHT
2;102;17:45:55;23-05-2020;WRONG
2;102;17:46:17;23-05-2020;RIGHT
2;102;11:44:38;25-05-2020;WRONG
2;102;11:45:28;25-05-2020;RIGHT
2;102;14:34:47;25-05-2020;WRONG
2;102;17:18:13;25-05-2020;WRONG
2;102;17:18:36;25-05-2020;WRONG
2;102;11:53:31;26-05-2020;RIGHT
2;102;14:10:21;26-05-2020;RIGHT
2;102;14:29:11;26-05-2020;RIGHT
2;102;14:34:03;26-05-2020;WRONG
2;102;17:41:35;26-05-2020;WRONG
2;102;14:58:32;27-05-2020;WRONG
2;102;14:05:12;28-05-2020;RIGHT
2;102;14:17:01;28-05-2020;RIGHT
2;102;14:33:40;28-05-2020;RIGHT
2;102;14:36:27;28-05-2020;RIGHT
2;102;14:40:39;28-05-2020;RIGHT
2;102;14:41:43;28-05-2020;WRONG
2;102;14:41:51;28-05-2020;RIGHT
2;102;14:48:34;28-05-2020;RIGHT
2;102;17:58:59;28-05-2020;WRONG
2;102;11:46:27;29-05-2020;RIGHT
2;102;11:56:05;29-05-2020;RIGHT
2;102;14:33:36;29-05-2020;WRONG
2;102;14:23:13;30-05-2020;WRONG
2;102;17:15:16;31-05-2020;RIGHT
2;102;17:58:14;31-05-2020;WRONG
2;102;14:02:31;02-06-2020;RIGHT
2;102;14:33:26;02-06-2020;RIGHT
2;102;14:42:08;02-06-2020;RIGHT
3;103;20:49:09;05-09-2019;WRONG
3;103;20:01:33;08-09-2019;RIGHT
3;103;20:36:57;26-09-2019;RIGHT
3;103;23:27:07;26-09-2019;RIGHT
3;103;23:28:10;26-09-2019;RIGHT
3;103;20:24:37;28-09-2019;WRONG
3;103;20:25:42;28-09-2019;RIGHT
3;103;12:08:40;13-11-2019;RIGHT
3;103;12:08:47;13-11-2019;RIGHT
3;103;12:08:54;13-11-2019;RIGHT
3;103;12:09:01;13-11-2019;RIGHT
3;103;12:09:08;13-11-2019;RIGHT
3;103;12:09:17;13-11-2019;RIGHT
3;103;12:11:01;13-11-2019;RIGHT
3;103;12:11:36;13-11-2019;RIGHT
3;103;23:16:07;18-11-2019;RIGHT
3;103;23:17:24;18-11-2019;RIGHT
3;103;23:30:12;18-11-2019;RIGHT
3;103;23:14:38;26-11-2019;RIGHT
3;103;08:06:54;16-05-2020;WRONG
3;103;08:11:31;16-05-2020;WRONG
3;103;08:14:25;16-05-2020;RIGHT
3;103;09:21:10;17-05-2020;WRONG
3;103;08:27:00;20-05-2020;RIGHT
3;103;14:31:40;22-05-2020;RIGHT
3;103;11:10:46;24-05-2020;RIGHT
3;103;14:04:21;24-05-2020;RIGHT
3;103;14:05:21;24-05-2020;RIGHT
3;103;14:05:31;24-05-2020;RIGHT
3;103;14:07:10;24-05-2020;RIGHT
3;103;14:13:47;24-05-2020;WRONG
3;103;14:14:06;24-05-2020;RIGHT
3;103;17:03:29;24-05-2020;RIGHT
3;103;17:12:30;24-05-2020;WRONG
3;103;17:13:04;24-05-2020;WRONG
3;103;17:14:15;24-05-2020;RIGHT
3;103;17:14:38;24-05-2020;RIGHT
3;103;17:14:55;24-05-2020;RIGHT
3;103;17:21:23;24-05-2020;RIGHT
3;103;17:21:51;24-05-2020;RIGHT
3;103;17:22:40;24-05-2020;RIGHT
3;103;17:23:05;24-05-2020;RIGHT
3;103;11:17:15;25-05-2020;RIGHT
3;103;11:27:11;25-05-2020;WRONG
3;103;11:27:58;25-05-2020;RIGHT
3;103;17:13:09;25-05-2020;RIGHT
3;103;17:15:48;25-05-2020;RIGHT
3;103;17:17:52;25-05-2020;RIGHT
3;103;17:20:13;25-05-2020;RIGHT
3;103;17:20:46;25-05-2020;RIGHT
3;103;17:21:50;25-05-2020;WRONG
3;103;17:22:17;25-05-2020;RIGHT
3;103;17:22:27;25-05-2020;RIGHT
3;103;17:22:40;25-05-2020;RIGHT
3;103;17:33:11;25-05-2020;RIGHT
3;103;11:16:31;26-05-2020;WRONG
3;103;11:25:26;26-05-2020;WRONG
3;103;14:01:41;26-05-2020;RIGHT
3;103;14:03:43;26-05-2020;RIGHT
3;103;14:04:53;26-05-2020;RIGHT
3;103;14:05:31;26-05-2020;RIGHT
3;103;14:05:50;26-05-2020;RIGHT
3;103;14:11:28;26-05-2020;WRONG
3;103;17:05:43;26-05-2020;RIGHT
3;103;17:07:31;26-05-2020;RIGHT
3;103;17:09:03;26-05-2020;RIGHT
3;103;17:17:41;26-05-2020;WRONG
3;103;17:17:55;26-05-2020;RIGHT
3;103;17:18:13;26-05-2020;RIGHT
3;103;17:36:44;26-05-2020;WRONG
3;103;17:48:21;26-05-2020;WRONG
3;103;11:05:14;27-05-2020;RIGHT
3;103;11:07:18;27-05-2020;RIGHT
3;103;11:08:25;27-05-2020;WRONG
3;103;11:12:44;27-05-2020;WRONG
3;103;11:20:40;27-05-2020;RIGHT
3;103;11:22:11;27-05-2020;RIGHT
3;103;11:23:24;27-05-2020;WRONG
3;103;11:29:10;27-05-2020;RIGHT
3;103;11:29:51;27-05-2020;RIGHT
3;103;11:33:09;27-05-2020;RIGHT
3;103;14:01:15;27-05-2020;RIGHT
3;103;14:02:28;27-05-2020;RIGHT
